country_code,gdp_data_level,gdp_domain,year,gdp
ABW,national,national,1986,17354.4211506779
ABW,national,national,1987,20407.620205072
ABW,national,national,1988,24143.1712840053
ABW,national,national,1989,26573.6479138613
ABW,national,national,1990,26609.3840748633
ABW,national,national,1991,27358.0217070709
ABW,national,national,1992,27662.2034052006
ABW,national,national,1993,27798.3553265013
ABW,national,national,1994,28563.2336087935
ABW,national,national,1995,28479.6452657341
ABW,national,national,1996,27701.0504117279
ABW,national,national,1997,28526.0975674511
ABW,national,national,1998,28387.1299566371
ABW,national,national,1999,28351.3719022982
ABW,national,national,2000,30199.6612772816
ABW,national,national,2001,31169.7969138989
ABW,national,national,2002,30662.3217145204
ABW,national,national,2003,30651.9457560917
ABW,national,national,2004,32192.7919471291
ABW,national,national,2005,31249.2780373413
ABW,national,national,2006,31038.8898666583
ABW,national,national,2007,31759.8232024833
ABW,national,national,2008,32097.0402243555
ABW,national,national,2009,28157.1489891095
ABW,national,national,2010,27324.5554259804
ABW,national,national,2011,28037.8697927378
ABW,national,national,2012,27341.2274279996
ABW,national,national,2013,28668.7204196265
ABW,national,national,2014,27914.8433440348
ABW,national,national,2015,27458.2253310273
ABW,national,national,2016,27719.5007310796
ABW,national,national,2017,29671.13582858
ABW,national,national,2018,30334.1162224308
ABW,national,national,2019,29576.8097145074
ABW,national,national,2020,21947.9953301189
ABW,national,national,2021,27469.0056215511
ABW,national,national,2022,29917.1280287045
ABW,national,national,2023,31178.473678762
ABW,national,national,2024,33213.8793889341
ABW,national,national,2025,33967.4151590495
ABW,national,national,2026,34860.797410097
ABW,national,national,2027,35739.0439802353
ABW,national,national,2028,36331.4145599567
ABW,national,national,2029,36841.7950745305
ABW,national,national,2030,37345.91848797
AFG,national,national,1960,769.025736018814
AFG,national,national,1961,759.16643171088
AFG,national,national,1962,755.106718172319
AFG,national,national,1963,752.78688186457
AFG,national,national,1964,748.727168326009
AFG,national,national,1965,748.147209249072
AFG,national,national,1966,737.707945864201
AFG,national,national,1967,740.607741248888
AFG,national,national,1968,748.147209249072
AFG,national,national,1969,741.187700325825
AFG,national,national,1970,737.707945864201
AFG,national,national,1971,717.409378171397
AFG,national,national,1972,584.018790475826
AFG,national,national,1973,586.338626783575
AFG,national,national,1974,602.577480937818
